feature_name,feature_index,class_id,class_name,min,max,mean,std,median
Tot size,38,0,Benign,0.0,0.2819,0.1277,0.0415,0.1284
Tot size,38,1,BruteForce,0.0961,0.3758,0.2347,0.0413,0.2345
Tot size,38,2,DDoS,0.1861,0.4966,0.3396,0.042,0.3401
Tot size,38,3,DoS,0.2758,0.5867,0.4447,0.0422,0.4446
Tot size,38,4,Mirai,0.3995,0.7134,0.551,0.0414,0.5521
Tot size,38,5,Recon,0.513,0.7833,0.6542,0.0413,0.6541
Tot size,38,6,Spoofing,0.6272,0.9343,0.7599,0.0412,0.76
Tot size,38,7,Web-based,0.7331,1.0,0.8641,0.042,0.8637
HTTPS,20,0,Benign,0.0,0.2783,0.1385,0.0422,0.1386
HTTPS,20,1,BruteForce,0.0915,0.3769,0.2423,0.043,0.2426
HTTPS,20,2,DDoS,0.2161,0.5049,0.3492,0.0416,0.3481
HTTPS,20,3,DoS,0.3068,0.5877,0.4526,0.0426,0.4523
HTTPS,20,4,Mirai,0.3999,0.6957,0.5569,0.0424,0.5557
HTTPS,20,5,Recon,0.5312,0.7964,0.6609,0.0418,0.6607
HTTPS,20,6,Spoofing,0.6317,0.9211,0.7663,0.041,0.766
HTTPS,20,7,Web-based,0.7307,1.0278,0.871,0.0397,0.871
Std,37,0,Benign,0.0,0.2808,0.1527,0.0413,0.1539
Std,37,1,BruteForce,0.1168,0.3952,0.2529,0.0409,0.2537
Std,37,2,DDoS,0.2129,0.4859,0.3572,0.0402,0.3575
Std,37,3,DoS,0.3152,0.6228,0.4597,0.0406,0.4596
Std,37,4,Mirai,0.4302,0.6888,0.5611,0.0394,0.5615
Std,37,5,Recon,0.5328,0.8004,0.6655,0.0408,0.6652
Std,37,6,Spoofing,0.6237,0.9073,0.7659,0.0405,0.7663
Std,37,7,Web-based,0.7243,1.0,0.8713,0.041,0.8714
HTTP,19,0,Benign,-0.0016,0.3191,0.1452,0.0419,0.1455
HTTP,19,1,BruteForce,0.1271,0.4034,0.2492,0.0414,0.2495
HTTP,19,2,DDoS,0.2128,0.5285,0.3525,0.0411,0.3535
HTTP,19,3,DoS,0.3245,0.5895,0.457,0.0417,0.457
HTTP,19,4,Mirai,0.3994,0.7033,0.5613,0.0419,0.5615
HTTP,19,5,Recon,0.5128,0.8234,0.6649,0.0415,0.6663
HTTP,19,6,Spoofing,0.6247,0.9148,0.7683,0.0409,0.769
HTTP,19,7,Web-based,0.7515,1.005,0.8731,0.0413,0.8725
Radius,42,0,Benign,0.0,0.2963,0.1241,0.041,0.124
Radius,42,1,BruteForce,0.0935,0.3876,0.2308,0.0411,0.232
Radius,42,2,DDoS,0.1877,0.4765,0.3352,0.0419,0.3349
Radius,42,3,DoS,0.308,0.5672,0.438,0.0417,0.4379
Radius,42,4,Mirai,0.4237,0.6764,0.5418,0.0427,0.5422
Radius,42,5,Recon,0.4901,0.7791,0.6486,0.0417,0.6495
Radius,42,6,Spoofing,0.6126,0.9015,0.7513,0.0428,0.7507
Radius,42,7,Web-based,0.7074,1.001,0.8548,0.0413,0.8538
syn_flag_number,8,0,Benign,0.0,0.275,0.1423,0.0408,0.142
syn_flag_number,8,1,BruteForce,0.1149,0.3733,0.2431,0.0404,0.2427
syn_flag_number,8,2,DDoS,0.2201,0.4727,0.3443,0.0403,0.3438
syn_flag_number,8,3,DoS,0.3197,0.6095,0.4447,0.0403,0.4437
syn_flag_number,8,4,Mirai,0.4226,0.6871,0.5445,0.0402,0.5443
syn_flag_number,8,5,Recon,0.4991,0.7761,0.6451,0.0395,0.6459
syn_flag_number,8,6,Spoofing,0.6014,0.8694,0.7469,0.0391,0.7475
syn_flag_number,8,7,Web-based,0.7171,1.0,0.8482,0.0405,0.8478
DHCP,28,0,Benign,0.0,0.2658,0.1349,0.041,0.1343
DHCP,28,1,BruteForce,0.0885,0.3691,0.2384,0.0413,0.2375
DHCP,28,2,DDoS,0.1988,0.4762,0.3432,0.0407,0.3433
DHCP,28,3,DoS,0.275,0.597,0.4453,0.0417,0.4458
DHCP,28,4,Mirai,0.4136,0.7,0.5513,0.0409,0.5504
DHCP,28,5,Recon,0.5027,0.7966,0.6533,0.0405,0.6538
DHCP,28,6,Spoofing,0.601,0.8902,0.7577,0.0415,0.7566
DHCP,28,7,Web-based,0.7198,1.0147,0.861,0.0427,0.8616
ack_count,14,0,Benign,-0.0051,0.2598,0.1251,0.0427,0.1252
ack_count,14,1,BruteForce,0.1044,0.4328,0.2293,0.0404,0.2294
ack_count,14,2,DDoS,0.1857,0.4984,0.3322,0.0409,0.3321
ack_count,14,3,DoS,0.3086,0.582,0.4355,0.0419,0.4363
ack_count,14,4,Mirai,0.3976,0.6907,0.5401,0.0415,0.5397
ack_count,14,5,Recon,0.5088,0.7983,0.644,0.0414,0.6429
ack_count,14,6,Spoofing,0.5921,0.8683,0.7475,0.0407,0.7469
ack_count,14,7,Web-based,0.7047,1.0,0.8512,0.0427,0.8527
SSH,24,0,Benign,0.0,0.2814,0.1393,0.0419,0.1383
SSH,24,1,BruteForce,0.0945,0.3923,0.2446,0.0416,0.2449
SSH,24,2,DDoS,0.2177,0.4971,0.3491,0.0406,0.3488
SSH,24,3,DoS,0.3267,0.6178,0.452,0.0408,0.4506
SSH,24,4,Mirai,0.4189,0.6977,0.5541,0.0422,0.5536
SSH,24,5,Recon,0.516,0.7844,0.6597,0.0415,0.6597
SSH,24,6,Spoofing,0.6209,0.8952,0.7643,0.0418,0.7635
SSH,24,7,Web-based,0.7265,1.0,0.8677,0.0409,0.8679
urg_count,17,0,Benign,0.0,0.2641,0.137,0.0403,0.1364
urg_count,17,1,BruteForce,0.0821,0.3837,0.2408,0.0405,0.2402
urg_count,17,2,DDoS,0.2134,0.4736,0.3433,0.041,0.3431
urg_count,17,3,DoS,0.2722,0.5881,0.4452,0.04,0.4455
urg_count,17,4,Mirai,0.4077,0.6991,0.5478,0.0415,0.5482
urg_count,17,5,Recon,0.5215,0.8079,0.651,0.0405,0.6513
urg_count,17,6,Spoofing,0.5844,0.8983,0.7529,0.0414,0.7531
urg_count,17,7,Web-based,0.7242,1.0,0.8573,0.0417,0.8574
