iteration,gbest_val_macro_f1,gbest_val_accuracy,gbest_val_weighted_f1,gbest_val_macro_precision,gbest_val_macro_recall,num_selected_features,selected_feature_indices,iteration_duration_seconds,cumulative_duration_seconds
1,0.650834,0.699175,0.730215,0.805235,0.659941,30,"[1, 2, 3, 4, 5, 6, 8, 10, 11, 13, 15, 17, 19, 20, 21, 22, 23, 24, 26, 28, 30, 31, 33, 34, 35, 37, 38, 42, 44, 45]",12.25,12.25
2,0.658467,0.734245,0.761694,0.816103,0.665849,28,"[0, 1, 2, 3, 4, 8, 9, 10, 12, 13, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 31, 34, 35, 37, 38, 41, 42, 45]",12.13,24.38
3,0.658467,0.734245,0.761694,0.816103,0.665849,28,"[0, 1, 2, 3, 4, 8, 9, 10, 12, 13, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 31, 34, 35, 37, 38, 41, 42, 45]",12.02,36.41
4,0.658467,0.734245,0.761694,0.816103,0.665849,28,"[0, 1, 2, 3, 4, 8, 9, 10, 12, 13, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 31, 34, 35, 37, 38, 41, 42, 45]",12.22,48.62
5,0.659006,0.730775,0.758157,0.855299,0.668271,26,"[0, 1, 3, 5, 6, 7, 9, 10, 11, 16, 17, 19, 20, 22, 23, 24, 25, 26, 27, 29, 31, 33, 34, 35, 38, 41]",12.11,60.74
6,0.659006,0.730775,0.758157,0.855299,0.668271,26,"[0, 1, 3, 5, 6, 7, 9, 10, 11, 16, 17, 19, 20, 22, 23, 24, 25, 26, 27, 29, 31, 33, 34, 35, 38, 41]",12.40,73.13
7,0.660370,0.733950,0.761530,0.880196,0.665407,23,"[2, 4, 6, 10, 11, 13, 15, 16, 17, 19, 20, 22, 24, 25, 26, 27, 29, 31, 34, 35, 38, 41, 45]",12.19,85.32
8,0.661252,0.734040,0.761463,0.816438,0.667919,26,"[0, 2, 3, 4, 6, 8, 10, 15, 17, 18, 20, 21, 22, 24, 26, 31, 33, 34, 35, 37, 38, 39, 42, 43, 44, 45]",11.75,97.07
9,0.661252,0.734040,0.761463,0.816438,0.667919,26,"[0, 2, 3, 4, 6, 8, 10, 15, 17, 18, 20, 21, 22, 24, 26, 31, 33, 34, 35, 37, 38, 39, 42, 43, 44, 45]",12.26,109.33
10,0.661252,0.734040,0.761463,0.816438,0.667919,26,"[0, 2, 3, 4, 6, 8, 10, 15, 17, 18, 20, 21, 22, 24, 26, 31, 33, 34, 35, 37, 38, 39, 42, 43, 44, 45]",12.03,121.36
11,0.661252,0.734040,0.761463,0.816438,0.667919,26,"[0, 2, 3, 4, 6, 8, 10, 15, 17, 18, 20, 21, 22, 24, 26, 31, 33, 34, 35, 37, 38, 39, 42, 43, 44, 45]",12.03,133.39
12,0.662544,0.736910,0.764018,0.799947,0.668667,29,"[2, 3, 5, 6, 8, 9, 10, 11, 14, 15, 16, 19, 20, 21, 22, 23, 24, 26, 29, 31, 32, 33, 34, 35, 38, 40, 42, 43, 45]",12.22,145.61
13,0.662942,0.734640,0.762147,0.801652,0.668323,27,"[1, 2, 3, 4, 6, 8, 9, 10, 15, 18, 20, 21, 22, 24, 30, 31, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45]",12.18,157.79
14,0.662942,0.734640,0.762147,0.801652,0.668323,27,"[1, 2, 3, 4, 6, 8, 9, 10, 15, 18, 20, 21, 22, 24, 30, 31, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45]",12.13,169.91
15,0.662942,0.734640,0.762147,0.801652,0.668323,27,"[1, 2, 3, 4, 6, 8, 9, 10, 15, 18, 20, 21, 22, 24, 30, 31, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45]",12.01,181.92
16,0.662942,0.734640,0.762147,0.801652,0.668323,27,"[1, 2, 3, 4, 6, 8, 9, 10, 15, 18, 20, 21, 22, 24, 30, 31, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45]",12.05,193.97
17,0.662942,0.734640,0.762147,0.801652,0.668323,27,"[1, 2, 3, 4, 6, 8, 9, 10, 15, 18, 20, 21, 22, 24, 30, 31, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45]",12.20,206.16
18,0.662942,0.734640,0.762147,0.801652,0.668323,27,"[1, 2, 3, 4, 6, 8, 9, 10, 15, 18, 20, 21, 22, 24, 30, 31, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45]",12.19,218.35
19,0.662942,0.734640,0.762147,0.801652,0.668323,27,"[1, 2, 3, 4, 6, 8, 9, 10, 15, 18, 20, 21, 22, 24, 30, 31, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45]",12.14,230.49
20,0.662942,0.734640,0.762147,0.801652,0.668323,27,"[1, 2, 3, 4, 6, 8, 9, 10, 15, 18, 20, 21, 22, 24, 30, 31, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 45]",12.85,243.34
