epoch,train_loss,train_accuracy,val_loss,val_accuracy,best_epoch,best_val_loss,epoch_time_seconds,cumulative_training_time_seconds
1,1.064843,0.905892,2.052680,0.276630,1,2.052680,192.71,192.71
2,0.867203,0.901620,2.166618,0.379612,1,2.052680,190.86,383.56
3,0.702041,0.916102,1.884417,0.372068,3,1.884417,208.37,591.93
4,0.628283,0.903684,1.765226,0.445048,4,1.765226,213.19,805.13
5,0.537704,0.910055,2.564369,0.337170,4,1.765226,210.28,1015.41
6,0.458510,0.922621,2.416926,0.334860,4,1.765226,210.73,1226.14
7,0.402207,0.930761,2.345350,0.360659,4,1.765226,208.90,1435.04
8,0.346567,0.939539,1.902562,0.498001,4,1.765226,210.83,1645.87
9,0.313819,0.944418,1.724596,0.537872,9,1.724596,216.71,1862.58
10,0.282131,0.946153,1.885601,0.541085,9,1.724596,213.22,2075.79
11,0.248408,0.952541,1.903905,0.423280,9,1.724596,212.99,2288.78
12,0.223751,0.956277,1.901853,0.421946,9,1.724596,212.48,2501.26
13,0.196504,0.961289,1.919477,0.485774,9,1.724596,211.01,2712.27
14,0.179442,0.964380,1.902243,0.501307,9,1.724596,215.42,2927.69
