class_name,precision,recall,f1_score,support
Benign,1.0,1.0,1.0,375
BruteForce,0.9664948453608248,1.0,0.982961992136304,375
DDoS,0.9944903581267218,0.9626666666666667,0.978319783197832,375
DoS,0.997093023255814,0.9146666666666666,0.9541029207232268,375
Mirai,0.9148351648351648,0.888,0.9012178619756427,375
Recon,0.8480565371024735,0.64,0.7294832826747721,375
Spoofing,0.0,0.0,0.0,375
Web-based,0.45843520782396086,1.0,0.6286672254819782,375
macro avg,0.7724256420631199,0.8006666666666666,0.7718441332737194,3000
weighted avg,0.77242564206312,0.8006666666666666,0.7718441332737195,3000
