epoch,train_loss,train_accuracy,val_loss,val_accuracy,best_epoch,best_val_loss,epoch_time_seconds,cumulative_training_time_seconds
1,0.710618,0.789455,0.866389,0.659613,1,0.866389,15.55,15.55
2,0.409506,0.863675,0.866328,0.590713,2,0.866328,14.91,30.46
3,0.353267,0.879137,0.899211,0.564494,2,0.866328,14.90,45.36
4,0.328041,0.885055,0.902172,0.622419,2,0.866328,14.99,60.35
5,0.312111,0.888685,0.901164,0.627401,2,0.866328,14.97,75.32
6,0.298038,0.893998,0.848004,0.631723,6,0.848004,14.85,90.17
7,0.288741,0.897924,0.837299,0.634473,7,0.837299,14.60,104.77
8,0.282042,0.900224,0.858808,0.668926,7,0.837299,14.72,119.49
9,0.275912,0.902491,0.919026,0.674031,7,0.837299,14.78,134.27
10,0.272852,0.903432,1.007506,0.674931,7,0.837299,14.88,149.15
11,0.270468,0.903844,1.133310,0.670271,7,0.837299,15.00,164.15
12,0.267604,0.904728,1.201604,0.662372,7,0.837299,14.85,179.00
