id,name,features,acc,macro_p,macro_r,macro_f1,weighted_f1,macro_roc,macro_pr,train_time,latency_ms
1,CNN-Transformer Baseline (46 feats),46,0.564006,0.166511,0.270536,0.190772,0.561702,0.688962,0.205454,1618.91,0.0359
2,CNN-Transformer Class-Weighted (46 feats),46,0.630424,0.181308,0.28853,0.207886,0.612664,0.726522,0.252926,1619.58,0.037
3,MLP Baseline (46 feats),46,0.634618,0.304072,0.453237,0.340587,0.656431,0.926279,0.566948,179.55,0.0035
4,XGBoost Baseline (46 feats),46,0.749095,0.865403,0.694793,0.703153,0.774626,0.972964,0.763626,50.68,0.0003
5,XGBoost + BPSO (27 feats),27,0.745646,0.859439,0.689886,0.69597,0.771576,0.972499,0.758505,44.58,0.0003
6,CNN-Transformer + BPSO (27 feats),27,0.537973,0.269088,0.309511,0.261354,0.590346,0.656733,0.304337,2933.4,0.0468
7,Optimized CNN-Transformer + BPSO,27,0.6191297627730269,0.16052088578826246,0.17001892886697909,0.16264654804506998,0.5955278902462736,0.7802643706004003,0.325384543799027,2933.4,0.0468
8,Optimized MLP + BPSO,27,0.7404078261634832,0.8114546616861052,0.6630861564760464,0.659155302385917,0.7665872240867744,0.9713455878284678,0.7238021408224837,179.55,0.0035
9,Optimized XGBoost + BPSO,27,0.7598759654347891,0.8501837980892979,0.7077764370570293,0.7175365837177645,0.7840598192682108,0.9739381335961557,0.7703149886529796,44.58,0.0003
10,FINAL OPTIMIZED HYBRID IDS,27,0.7783464694579313,0.8558700358427727,0.6989067742772529,0.7184319274392706,0.7984949106946397,0.9670770772637078,0.7504730512310901,3157.53,0.0506
