Subclass Folder,Canonical Class,File Count,Size (Bytes),Size (MB),Size (GB),Raw Flow Rows
Benign_Final,Benign,4,227413899,216.88,0.212,1098191
BrowserHijacking,Web-based,1,1207500,1.15,0.001,5859
CommandInjection,Web-based,1,1107913,1.06,0.001,5409
DDoS-ACK_Fragmentation,DDoS,13,62777845,59.87,0.058,285075
DDoS-HTTP_Flood,DDoS,1,6449785,6.15,0.006,28790
DDoS-ICMP_Flood,DDoS,26,1277371047,1218.2,1.19,6932996
DDoS-ICMP_Fragmentation,DDoS,20,99715479,95.1,0.093,452490
DDoS-PSHACK_FLOOD,DDoS,12,567933103,541.62,0.529,3023182
DDoS-RSTFINFLOOD,DDoS,11,552250544,526.67,0.514,2910296
DDoS-SlowLoris,DDoS,1,5224322,4.98,0.005,23426
DDoS-SYN_Flood,DDoS,13,634445105,605.05,0.591,3335216
DDoS-SynonymousIP_Flood,DDoS,9,423606232,403.98,0.395,2260651
DDoS-TCP_Flood,DDoS,13,635173900,605.75,0.592,3385730
DDoS-UDP_Flood,DDoS,18,874339499,833.84,0.814,4613951
DDoS-UDP_Fragmentation,DDoS,12,58002817,55.32,0.054,264256
DictionaryBruteForce,BruteForce,1,2704325,2.58,0.003,13064
DNS_Spoofing,Spoofing,1,36833637,35.13,0.034,178898
DoS-HTTP_Flood,DoS,2,15923730,15.19,0.015,71861
DoS-SYN_Flood,DoS,6,291304771,277.81,0.271,1513887
DoS-TCP_Flood,DoS,8,362178063,345.4,0.337,1911803
DoS-UDP_Flood,DoS,17,605399106,577.35,0.564,3072990
Mirai-greeth_flood,Mirai,29,200654394,191.36,0.187,991834
Mirai-greip_flood,Mirai,20,139182934,132.74,0.13,681909
Mirai-udpplain,Mirai,2,10767481,10.27,0.01,53307
MITM-ArpSpoofing,Spoofing,2,62905849,59.99,0.059,307560
