Subclass,Filename,Expected Columns Count,Actual Columns Count,All 46 Features Present,Label Present,Missing Features,Extra Columns,Row Count
Benign_Final,BenignTraffic.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,362361
Benign_Final,BenignTraffic1.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,295585
Benign_Final,BenignTraffic2.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,310413
Benign_Final,BenignTraffic3.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,129832
BrowserHijacking,BrowserHijacking.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,5859
CommandInjection,CommandInjection.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,5409
DDoS-ACK_Fragmentation,DDoS-ACK_Fragmentation.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,25090
DDoS-ACK_Fragmentation,DDoS-ACK_Fragmentation1.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22416
DDoS-ACK_Fragmentation,DDoS-ACK_Fragmentation10.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22750
DDoS-ACK_Fragmentation,DDoS-ACK_Fragmentation11.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22761
DDoS-ACK_Fragmentation,DDoS-ACK_Fragmentation12.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,9482
DDoS-ACK_Fragmentation,DDoS-ACK_Fragmentation2.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22550
DDoS-ACK_Fragmentation,DDoS-ACK_Fragmentation3.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22820
DDoS-ACK_Fragmentation,DDoS-ACK_Fragmentation4.pcap.csv,47,39,No,No,flow_duration|Duration|Srate|Drate|urg_count|Magnitue|Radius|Covariance|Weight,Time_To_Live|IGMP,22483
