feature_name,importance_gain,importance_weight,importance_cover,rank
Tot size,131.31544494628906,218.0,405.5633239746094,1
HTTPS,114.40354919433594,283.0,328.9031982421875,2
Std,105.93333435058594,316.0,438.08538818359375,3
HTTP,72.43165588378906,241.0,372.6101379394531,4
Radius,70.85372161865234,199.0,319.8739929199219,5
syn_flag_number,67.49152374267578,240.0,316.0772399902344,6
DHCP,62.20022201538086,242.0,437.04498291015625,7
ack_count,58.40458297729492,248.0,315.8634948730469,8
SSH,57.04772186279297,262.0,311.3936767578125,9
urg_count,56.822776794433594,282.0,302.6333923339844,10
Telnet,55.06787109375,294.0,346.05645751953125,11
Variance,54.91289138793945,305.0,359.8711853027344,12
Tot sum,47.09410095214844,223.0,353.14324951171875,13
Weight,46.536773681640625,226.0,299.5639953613281,14
psh_flag_number,46.42774200439453,255.0,340.40863037109375,15
cwr_flag_number,44.718177795410156,236.0,324.44915771484375,16
Number,44.11187744140625,231.0,355.65557861328125,17
Min,42.86265563964844,201.0,275.3958740234375,18
AVG,42.58650207519531,253.0,285.0177917480469,19
ICMP,38.93103790283203,244.0,237.75352478027344,20
IRC,36.509281158447266,224.0,315.3572692871094,21
LLC,34.797889709472656,282.0,350.4163818359375,22
rst_count,34.67216110229492,234.0,277.4435729980469,23
TCP,34.30833053588867,220.0,266.4424743652344,24
IAT,32.688446044921875,197.0,242.31170654296875,25
fin_count,32.64299011230469,271.0,330.9129943847656,26
DNS,32.32447052001953,187.0,225.45375061035156,27
ece_flag_number,31.97869873046875,211.0,229.37574768066406,28
Drate,31.75312614440918,232.0,258.84625244140625,29
syn_count,31.444795608520508,224.0,344.8287658691406,30
Covariance,29.392131805419922,211.0,258.4621276855469,31
rst_flag_number,29.075572967529297,253.0,344.2132568359375,32
ARP,26.04584312438965,244.0,303.623291015625,33
UDP,25.010149002075195,216.0,303.27581787109375,34
Protocol Type,23.159088134765625,238.0,238.6061248779297,35
ack_flag_number,23.095314025878906,230.0,207.19276428222656,36
Srate,21.327884674072266,283.0,268.1484680175781,37
Magnitue,21.311887741088867,168.0,288.6369323730469,38
SMTP,20.00230598449707,208.0,229.2154998779297,39
flow_duration,19.690549850463867,322.0,282.45660400390625,40
fin_flag_number,19.48956298828125,245.0,236.1029815673828,41
IPv,18.5943603515625,211.0,209.6226348876953,42
Duration,17.901308059692383,206.0,277.3543395996094,43
Header_Length,15.938936233520508,291.0,198.81455993652344,44
Max,15.128937721252441,200.0,277.6790771484375,45
Rate,15.05318832397461,236.0,183.8475341796875,46
