feature_name,importance_gain,importance_weight,importance_cover,rank
Weight,15569.9052734375,193.0,115604.0546875,1
Number,14572.52734375,869.0,113478.71875,2
Protocol Type,10812.25390625,401.0,84167.1484375,3
Tot size,8699.666015625,259.0,62667.91796875,4
Tot sum,8651.455078125,931.0,58120.515625,5
AVG,6756.35595703125,1191.0,50228.44140625,6
Header_Length,2756.981689453125,1232.0,53442.55078125,7
ICMP,2427.284423828125,541.0,89241.34375,8
Min,2373.259765625,1194.0,42328.73828125,9
ack_flag_number,1705.458984375,344.0,43344.8203125,10
UDP,1685.34033203125,585.0,28853.2890625,11
fin_count,1674.0394287109375,167.0,103435.0390625,12
fin_flag_number,1498.1396484375,384.0,77559.6640625,13
Max,1337.572998046875,1725.0,30535.748046875,14
psh_flag_number,1192.3544921875,897.0,57406.51171875,15
Drate,1074.076416015625,26.0,21589.8203125,16
flow_duration,966.284423828125,951.0,40606.55078125,17
syn_count,959.611328125,366.0,73641.296875,18
IAT,953.0587768554688,722.0,28016.3984375,19
Rate,926.470703125,666.0,26785.185546875,20
Srate,843.3988647460938,176.0,29614.30078125,21
Magnitue,735.5619506835938,631.0,11995.43359375,22
ack_count,702.2085571289062,505.0,67539.7265625,23
TCP,644.3406372070312,247.0,30801.42578125,24
SSH,556.8883056640625,434.0,14295.73046875,25
Duration,514.302978515625,212.0,26313.3515625,26
LLC,448.2043762207031,15.0,52113.125,27
Std,443.57672119140625,828.0,22003.583984375,28
IPv,426.8210754394531,58.0,22048.89453125,29
rst_count,405.3414306640625,82.0,77224.1640625,30
ARP,401.3169250488281,340.0,39728.51171875,31
rst_flag_number,383.5151672363281,200.0,41615.1484375,32
Radius,327.3650207519531,153.0,23358.70703125,33
Covariance,313.9786376953125,507.0,16450.482421875,34
syn_flag_number,258.7064208984375,397.0,26584.201171875,35
HTTPS,211.9148712158203,857.0,7582.22705078125,36
HTTP,201.91981506347656,805.0,16216.9072265625,37
Variance,140.70114135742188,39.0,13476.392578125,38
ece_flag_number,57.69408416748047,54.0,14571.6640625,39
DNS,47.681148529052734,577.0,26382.703125,40
cwr_flag_number,17.530288696289062,4.0,270.47998046875,41
DHCP,8.333581924438477,32.0,1015.3374633789062,42
urg_count,0.0,0.0,0.0,43
IRC,0.0,0.0,0.0,44
Telnet,0.0,0.0,0.0,45
SMTP,0.0,0.0,0.0,46
